ArticleTitle,ArticleAuthor,ArticleDate,JournalTitle,JournalVolume,JournalIssue,JournalPages,DOI,Notes
"A Record of Rare Spiny Butterfly Ray, Gymnura altavela (Linnaeus, 1758), in the Amvrakikos Gulf (Greece).","Ciriaco, S. & Segarich, M. & Franzosini, C. & Konstas, S. (2020)",2020,"A Record of Rare Spiny Butterfly Ray, Gymnura altavela (Linnaeus",30.0,1.0,,10.19233/ASHN.2020.06,Batch 3: Papers from 2018-2020
A Study of Some Biochemical Properties of Ecto-ATPase (Nucleotidase) in Erythrocytes of the Black Sea Thornback Ray Raja clavata L.,"Silkin, Y.A. & Silkina, E.N. & Silkin, M.Y. (2020)",2020,A Study of Some Biochemical Properties of Ecto-ATPase (Nucleotidase) in Erythrocytes of the Black Sea Thornback Ray Raja clavata L. Journal of Evolutionary Biochemistry and Physiology,56.0,1.0,,10.1134/s0022093020010044,Batch 3: Papers from 2018-2020
A baited remote underwater video system (BRUVS) assessment of elasmobranch diversity and abundance on the eastern Caicos Bank (Turks and Caicos Islands); an environment in transition.,"Bruns, S. & Henderson, A.C. (2020)",2020,A baited remote underwater video system (BRUVS) assessment of elasmobranch diversity and abundance on the eastern Caicos Bank (Turks and Caicos Islands); an environment in transition. Environmental Biology of Fishes,103.0,9.0,,10.1007/s10641-020-01004-4,Batch 3: Papers from 2018-2020
A cerebellum-like circuit in the lateral line system of fish cancels mechanosensory input associated with its own movements.,"Perks, K.E. & Krotinger, A. & Bodznick, D. (2020)",2020,A cerebellum-like circuit in the lateral line system of fish cancels mechanosensory input associated with its own movements. Journal of Experimental Biology,223.0,4.0,,10.1242/jeb.204438,Batch 3: Papers from 2018-2020
A community assessment of the demersal fish and benthic invertebrates of the Rosemary Bank Seamount marine protected area (NE Atlantic).,"Eerkes-Medrano, D. & Drewery, J. & Burns, F. & Cardenas, P. & Taite, M. & Mckay, D.W. & Stirling, D. & Neat, F. (2020)",2020,A community assessment of the demersal fish and benthic invertebrates of the Rosemary Bank Seamount marine protected area (NE Atlantic). Deep Sea Research Part I: Oceanographic Research Papers,,,,10.1016/j.dsr.2019.103180,Batch 3: Papers from 2018-2020
"A fin spine of Recurvacanthus (Myriacanthidae, Holocephali) from the Posidonienschiefer (Early Jurassic) of SW Germany.","Duffin, C.J. & Lars, J. (2020)",2020,"A fin spine of Recurvacanthus (Myriacanthidae, Holocephali) from the Posidonienschiefer (Early Jurassic) of SW Germany. Neues Jahrbuch für Geologie und Paläontologie, Abhandlungen",296.0,3.0,,10.1127/njgpa/2020/0908,Batch 3: Papers from 2018-2020
A first look at the metabolic rate of Greenland sharks (Somniosus microcephalus) in the Canadian Arctic.,"Ste-Marie, E. & Watanabe, Y.Y. & Semmens, J.M. & Marcoux, M. & Hussey, N.E. (2020)",2020,A first look at the metabolic rate of Greenland sharks (Somniosus microcephalus) in the Canadian Arctic. Scientific Reports,,,,10.1038/s41598-020-76371-0,Batch 3: Papers from 2018-2020
A framework to estimate the likelihood of species interactions and behav-ioural responses using animal-borne acoustic telemetry transceivers and ac-celerometers.,"Barkley, A.N. & Broell, F. & Pettitt-Wade, H. & Watanabe, Y.Y. & Marcoux, M. & Hussey, N.E. (2020)",2020,A framework to estimate the likelihood of species interactions and behav-ioural responses using animal-borne acoustic telemetry transceivers and ac-celerometers. Journal of Animal Ecology,89.0,1.0,,10.1111/1365-2656.13156,Batch 3: Papers from 2018-2020
"A global review of elasmobranch tourism activities, management and risk.","Healy, T.J. & Hill, N.J. & Barnett, A. & Chin, A. (2020)",2020,"A global review of elasmobranch tourism activities, management and risk. Marine Policy",,,,10.1016/j.marpol.2020.103964,Batch 3: Papers from 2018-2020
"A globally threatened shark, Carcharias taurus, shows no population decline in South Africa.","Klein, J.D. & Bester-Van der Merwe, A.E. & Dicken, M.L. & Emami-Khoyi, A. & Mmonwa, K.L. & Teske, P.R. (2020)",2020,"A globally threatened shark, Carcharias taurus, shows no population decline in South Africa. Scientific Reports",,,,10.1038/s41598-020-75044-2,Batch 3: Papers from 2018-2020
"A histone H2A-derived antimicrobial peptide, Hipposin from mangrove whip ray, Himantura walga: Molecular and functional characterisation.","Athira, P.P. & Anju, M.V. & Anooja, V.V. & Archana, K. & Neelima, S. & Rosamma, P. (2020)",2020,"A histone H2A-derived antimicrobial peptide, Hipposin from mangrove whip ray, Himantura walga: Molecular and functional characterisation. 3 Biotech",10.0,11.0,,10.1007/s13205-020-02455-3,Batch 3: Papers from 2018-2020
A hydrodynamics assessment of the hammerhead shark cephalofoil.,"Gaylord, M.K. & Blades, E.L. & Parsons, G.R. (2020)",2020,A hydrodynamics assessment of the hammerhead shark cephalofoil. Scientific Reports,,,,10.1038/s41598-020-71472-2,Batch 3: Papers from 2018-2020
A megamouth shark (Lamniformes: Megachasmidae) in the Burdigalian of Belgium.,"De Schutter, P.J. & Everaert, S. (2020)",2020,A megamouth shark (Lamniformes: Megachasmidae) in the Burdigalian of Belgium. Geologica Belgica,23.0,,,10.20341/gb.2020.001,Batch 3: Papers from 2018-2020
A new animal-borne imaging system for studying the behavioral ecology of small sharks: laboratory and field evaluations.,"O'Connell, C.P. & Collatos, C. & Picha, N.D. & He, P.G. (2020)",2020,A new animal-borne imaging system for studying the behavioral ecology of small sharks: laboratory and field evaluations. Marine and Freshwater Behaviour and Physiology,53.0,3.0,131-150,10.1080/10236244.2020.1782753,Batch 3: Papers from 2018-2020
"A new genus and species of fish blood fluke, Achorovermis testisinuosus gen. et sp. n. (Digenea: Aporocotylidae), infecting critically endangered smalltooth sawfish, Pristis pectinata (Rhinopristiformes: Pristidae) in the Gulf of Mexico.","Warren, M.B. & Bakenhaster, M.D. & Scharer, R.M. & Poulakis, G.R. & Bullard, S.A. (2020)",2020,"A new genus and species of fish blood fluke, Achorovermis testisinuosus gen. et sp. n. (Digenea: Aporocotylidae), infecting critically endangered smalltooth sawfish, Pristis pectinata (Rhinopristiformes: Pristidae) in the Gulf of Mexico. Folia Parasitologica",,,,10.14411/fp.2020.009,Batch 3: Papers from 2018-2020
"A new genus and three new species of Anthocephaliidae (Cestoda, Rhinebothriidea) from the round fantail stingray, Taeniurops grabata (Chondrichthyes, Dasyatidae) from the Mediterranean Sea and Atlantic Ocean.","Boudaya, L. & Neifar, L. & Euzet, L. (2020)",2020,"A new genus and three new species of Anthocephaliidae (Cestoda, Rhinebothriidea) from the round fantail stingray, Taeniurops grabata (Chondrichthyes, Dasyatidae) from the Mediterranean Sea and Atlantic Ocean. Journal of Helminthology",,,,10.1017/S0022149X18001025,Batch 3: Papers from 2018-2020
A new genus and two new species of trypanorhynch cestodes (Tentaculariidae) from the sharks Carcharhinus sorrah (Müller & Henle) and Sphyrna lewini (Griffith & Smith) from off the coasts of Malaysia and Mexico,"Palm, H.W. & Morales-Avila, J.R. & Galvan-Magana, F. & Haseli, M. (2020)",2020,A new genus and two new species of trypanorhynch cestodes (Tentaculariidae) from the sharks Carcharhinus sorrah (Müller & Henle) and Sphyrna lewini (Griffith & Smith) from off the coasts of Malaysia and Mexico Systematic Parasitology,97.0,2.0,,10.1007/s11230-020-09904-w,Batch 3: Papers from 2018-2020
A new genus of Rhinebothriidea from species of Psammobatis (Rajiformes: Arhynchobatidae) off Argentina.,"Franzese, S. & Ivanov, V.A. (2020)",2020,A new genus of Rhinebothriidea from species of Psammobatis (Rajiformes: Arhynchobatidae) off Argentina. Zootaxa,4803.0,2.0,,10.11646/zootaxa.4803.2.7,Batch 3: Papers from 2018-2020
"A new minibarcode assay to facilitate species identification from processed, degraded or historic ray (batoidea) samples.","Wannell, G.J. & Griffiths, A.M. & Spinou, A. & Batista, R. & Mendonca, M.B. & Wosiacki, W.B. & Fraser, B. & Wintner, S. & Papadopoulos, A.I. & Krey, G. & Gubili, C. (2020)",2020,"A new minibarcode assay to facilitate species identification from processed, degraded or historic ray (batoidea) samples. Conservation Genetics Resources",,,,10.1007/s12686-020-01158-4,Batch 3: Papers from 2018-2020
"A new record of a great white shark, Carcharodon carcharias (Chondrichthyes: Lamnidae) in the Strait of Sicily, Central Mediterranean Sea.","Scannella, D. & Geraci, M.L. & Falsone, F. & Colloca, F. & Zava, B. & Serena, F. & Di Mai, F. & Vitale, S. (2020)",2020,"A new record of a great white shark, Carcharodon carcharias (Chondrichthyes: Lamnidae) in the Strait of Sicily, Central Mediterranean Sea. Acta Adriatica",61.0,2.0,,10.32582/aa.61.2.13,Batch 3: Papers from 2018-2020
"A new species of Alexandercestus Ruhnke and Workman, 2013 (Cestoda: Phyllobothriidea) from the sicklefin lemon shark, Negaprion acutidens (Elasmobranchii: Carcharhinidae), in the Gulf of Oman.","Maleki, L. & Valinasab, T. & Palm, H.W. (2020)",2020,A new species of Alexandercestus Ruhnke and Workman,44.0,1.0,,10.1007/s12639-019-01168-6,Batch 3: Papers from 2018-2020
"A new species of Heterocotyle (Monogenea: Monocotylidae), a gill parasite of the diamond stingray Hypanus dipterurus (Myliobatiformes: Dasyatidae) from the Peruvian coastal zone.","Chero, J.D. & Cruces, C.L. & Saez, G. & Santos, C.P. & Luque, J.L. (2020)",2020,"A new species of Heterocotyle (Monogenea: Monocotylidae), a gill parasite of the diamond stingray Hypanus dipterurus (Myliobatiformes: Dasyatidae) from the Peruvian coastal zone. Acta Parasitologica",65.0,2.0,,10.2478/s11686-020-00183-5,Batch 3: Papers from 2018-2020
"A new species of Hypolophites (Chondrichthyes, Myliobatiformes) from the Lower Clayton Limestone Unit of the Midway Group (Paleocene), near Malvern, Arkansas, USA.","Maisch, H.M. (2020)",2020,"A new species of Hypolophites (Chondrichthyes, Myliobatiformes) from the Lower Clayton Limestone Unit of the Midway Group (Paleocene), near Malvern, Arkansas, USA. Journal of Paleontology",94.0,3.0,,10.1017/jpa.2019.99,Batch 3: Papers from 2018-2020
A new species of the enigmatic shark genus Nanocetorhinus (Chondrichthyes) from the Oligocene of Austria with palaeoceanographic implications.,"Feichtinger, I. & Pollerspöck, J. & Harzhauser, M. (2020)",2020,A new species of the enigmatic shark genus Nanocetorhinus (Chondrichthyes) from the Oligocene of Austria with palaeoceanographic implications. Austrian Journal of Earth Sciences,113.0,2.0,,10.17738/ajes.2020.0014,Batch 3: Papers from 2018-2020
A new strategy proposal to monitor ray fins landings in south-east Brazil.,"Marques, R.A. & Julio, T.G. & Sole-Cava, A.M. & Vianna, M. (2020)",2020,"A new strategy proposal to monitor ray fins landings in south-east Brazil. Aquatic Conservation, Marine and Freshwater Ecosystems",30.0,1.0,,10.1002/aqc.3203,Batch 3: Papers from 2018-2020
A new threat: assessing the main interactions between marine fish and plastic debris from a scientometric perspective.,"Santos de Moura, M. & Vianna, M. (2020)",2020,A new threat: assessing the main interactions between marine fish and plastic debris from a scientometric perspective. Reviews in Fish Biology and Fisheries,,,,10.1007/s11160-020-09621-z,Batch 3: Papers from 2018-2020
A novel experimental approach to investigate the potential for behavioural change in sharks in the context of depredation.,"Mitchell, J.D. & Schifiliti, M. & Birt, M.J. & Bond, T. & Mclean, D.L. & Barnes, P.B. & Langlois, T.J. (2020)",2020,A novel experimental approach to investigate the potential for behavioural change in sharks in the context of depredation. Journal of Experimental Marine Biology and Ecology,,,,10.1016/j.jembe.2020.151440,Batch 3: Papers from 2018-2020
A preliminary review and in situ observations of the spookfish genus Harriotta (Holocephali: Rhinochimaeridae).,"Nakayama, N. & Matsunuma, M. & Endo, H. (2020)",2020,A preliminary review and in situ observations of the spookfish genus Harriotta (Holocephali: Rhinochimaeridae). Ichthyological Research,67.0,1.0,,10.1007/s10228-019-00703-y,Batch 3: Papers from 2018-2020
A real-time PCR assay to detect predation by spiny dogfish on Atlantic cod in the western North Atlantic Ocean,"Pitchford, S.C. & Smith, B.E. & Mcbride, R.S. (2020)",2020,A real-time PCR assay to detect predation by spiny dogfish on Atlantic cod in the western North Atlantic Ocean Ecology and Evolution,10.0,20.0,,10.1002/ece3.6694,Batch 3: Papers from 2018-2020
A record of the delta Ca-44/40 and Sr of seawater over the last 100 million years from fossil elasmobranch tooth enamel.,"Akhtar, A.A. & Santi, L.M. & Griffiths, M.L. & Becker, M. & Eagle, R.A. & Kim, S. & Kocsis, L. & Rosenthal, Y. & Higgins, J.A. (2020)",2020,A record of the delta Ca-44/40 and Sr of seawater over the last 100 million years from fossil elasmobranch tooth enamel. Earth and Planetary Science Letters,,,,10.1016/j.epsl.2020.116354,Batch 3: Papers from 2018-2020
"A redescription of the female of Lernaeopoda bivia Leigh-Sharpe, 1930 (Lernaeopodidae: Siphonostomatoida) and a first description of the male.","Dippenaar, S.M. & Kalman Passarelli, J. (2020)",2020,A redescription of the female of Lernaeopoda bivia Leigh-Sharpe,97.0,6.0,,10.1007/s11230-020-09933-5,Batch 3: Papers from 2018-2020
A review of Australia’s Mesozoic fishes.,"Berrell, R.W. & Boisvert, C. & Trinajstic, K. & Siversson, M. & Alvarado-Ortega, J. & Cavin, L. & Salisbury, S.W. & Kemp, A. (2020)",2020,A review of Australia’s Mesozoic fishes. Alcheringa,44.0,2.0,286-311,10.1080/03115518.2019.1701078,Batch 3: Papers from 2018-2020
A review of potential taxonomic barriers to the effective management of Gulf elasmobranch fisheries.,"Henderson, A.C. (2020)",2020,A review of potential taxonomic barriers to the effective management of Gulf elasmobranch fisheries. Aquatic Ecosystem Health & Management,23.0,2.0,210-219,10.1080/14634988.2020.1800327,Batch 3: Papers from 2018-2020
"A revision of the Upper Cretaceous shark Ptychodus mediterraneus Canavari, 1916 from northeastern Italy, with a reassessment of P. latissimus and P. polygyrus Agassiz, 1835 (Chondrichthyes; Elasmobranchii).","Amadori, M. & Amalfitano, J. & Giusbert, L. & Fornaciari, E. & Carnevale, G. & Kriwet, J. (2020)",2020,A revision of the Upper Cretaceous shark Ptychodus mediterraneus Canavari,,,,10.1016/j.cretres.2020.104386,Batch 3: Papers from 2018-2020
A rhinopristiform sawfish (genus Pristis) from the middle Eocene (Lutetian) of southern Peru and its regional implications.,"Collareta, A. & Tejada-Medina, L. & Chacaltana-Budiel, C. & Landini, W. & Altamirano-Sierra, A. & Urbina-Schmitt, M. & Bianucci, G. (2020)",2020,A rhinopristiform sawfish (genus Pristis) from the middle Eocene (Lutetian) of southern Peru and its regional implications. Carnets de Géologie,20.0,5.0,91-105,10.4267/2042/70759,Batch 3: Papers from 2018-2020
A symmoriiform from the Late Devonian of Morocco demonstrates a derived jaw function in ancient chondrichthyans.,"Frey, L. & Coates, M.I. & Tietjen, K. & Rücklin, M. & Klug, C. (2020)",2020,A symmoriiform from the Late Devonian of Morocco demonstrates a derived jaw function in ancient chondrichthyans. Communications Biology,,,,10.1038/s42003-020-01394-2,Batch 3: Papers from 2018-2020
A unique mineralization mode of hypermineralized pleromin in the tooth plate of Chimaera phantasma contributes to its microhardness.,"Iijima, M. & Ishiyama, M. (2020)",2020,A unique mineralization mode of hypermineralized pleromin in the tooth plate of Chimaera phantasma contributes to its microhardness. Scientific Reports,,,,10.1038/s41598-020-75545-0,Batch 3: Papers from 2018-2020
Abundance and distribution of the white shark in the Mediterranean Sea.,"Moro, S. & Jona-Lasinio, G. & Block, B. & Micheli, F. & de Leo, G. & Serena, F. & Bottaro, M. & Scacco, U. & Ferretti, F. (2020)",2020,Abundance and distribution of the white shark in the Mediterranean Sea. Fish and Fisheries,21.0,2.0,,10.1111/faf.12432,Batch 3: Papers from 2018-2020
