institution_name,country
"* SimonWeigmann 3 PacificSharkResearchCenter,MossLandingMarineLaboratories,",
"* Victoria Camilieri-Asch 5 Biosciences, College of Life and Environmental Sciences,",
"* Xaver Neitemeier‑Duventester 2 Aquaculture and Sea‑Ranching, Faculty of Agricultural",
"* Yuri Niella 4 School of Science, Technology and Engineering, University",
"* michael.stat@mq.edu.au, Department of Biological Sciences, Macquarie University, Sydney 2109,",
"** Corresponding author. Department of Veterinary Sciences, University of Pisa, Pisa, 56124, Italy.",Italy
"** Correspondingauthor.AustralianRiversInstitute,GriffithSchoolofEnvironment,GriffithUniversity,GoldCoast,Queensland,4222,Australia.",Australia
"** Department of Veterinary Science, University of Melbourne, Veteri- ments are presented in micrometres, unless otherwise",
"** Laboratory of Parasitology, Centre for Research and Advanced Stu",
"*** Institute of Biology, National Autonomous University of Mexico,",Mexico
"**Department of Biology and Marine Sciences Research Laboratory, Memorial University of Newfoundland,",
"**Department of Biology, Texas A & M University,",
"**Department of Natural Resources Conservation, University foraging success. Predators become more successful",
"**IchtyoConsult, 6 bis rue du Centre, 91430, Igny, France",France
"**South African Institute for Aquatic Biodiversity, Private Bag 1015, Grahamstown 6140,",South Africa
"*AIMS@JCU, Australian Institute of Marine Science & College of Marine and Environmental",Australia
"*Address for correspondence: Roman Kuchta, Institute of Parasitology, Biology Centre of the Czech Academy of Sciences, České Budějovice, Czech",Oman
"*Addressreprintrequeststo:ScrippsInstitutionofOceanography,UniversityofCalifornia",
"*Applied Biology, HAS University of Applied Sciences, ’s-Hertogenbosch, 5200 MA, The",
"*Australian Institute of Marine Science, PMB 3 Townsville MC, Townsville QLD 4810,",Australia
