"our_journal_name","scimago_title","sjr_score","quartile","h_index","subject_areas","open_access","match_type","match_score","paper_count"
"Acta Adriatica","Acta Adriatica","0.256","Q3","27","Earth and Planetary Sciences","Yes","exact","1.0","63"
"Palaeogeography","Palaeogeography, Palaeoclimatology, Palaeoecology","0.997","Q1","184","Agricultural and Biological Sciences; Earth and Planetary Sciences","No","alias","1.0","61"
"Geobios","Geobios","0.558","Q2","60","Earth and Planetary Sciences","No","exact","1.0","61"
"Australian Journal of Marine and Freshwater Research","New Zealand Journal of Marine and Freshwater Research","0.581","Q2","65","Agricultural and Biological Sciences; Environmental Science","No","fuzzy","0.8762","61"
"Neotropical Ichthyology","Neotropical Ichthyology","0.563","Q1","52","Agricultural and Biological Sciences","Yes","exact","1.0","59"
"Proceedings of the National Academy of Sciences of the United States of America","Proceedings of the National Academy of Sciences of the United States of America","3.414","Q1","896","Multidisciplinary","Yes","exact","1.0","59"
"Mitochondrial DNA Part B","Mitochondrial DNA Part B: Resources","0.31","Q4","20","Biochemistry, Genetics and Molecular Biology","Yes","alias","1.0","58"
"Marine and Coastal Fisheries","Marine and Coastal Fisheries","0.6","Q2","41","Agricultural and Biological Sciences","Yes","exact","1.0","56"
"Proceedings of the Royal Society of London","Proceedings of the Royal Society of Queensland","0.114","Q4","12","Agricultural and Biological Sciences; Environmental Science","No","fuzzy","0.8864","56"
"Fish and Fisheries","Fish and Fisheries","2.153","Q1","140","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","No","exact","1.0","56"
"Zoological Journal of the Linnean Society","Zoological Journal of the Linnean Society","1.007","Q1","99","Agricultural and Biological Sciences","No","exact","1.0","54"
"Animals","Animals","0.733","Q1","95","Agricultural and Biological Sciences; Veterinary","Yes","exact","1.0","53"
"Acta Geologica Polonica","Acta Geologica Polonica","0.307","Q3","43","Earth and Planetary Sciences","Yes","exact","1.0","51"
"Paläontologische Zeitschrift","Palaontologische Zeitschrift","0.684","Q1","36","Earth and Planetary Sciences","No","exact","1.0","51"
"Comparative Biochemistry and Physiology – Part C","Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology","1.072","Q1","127","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics","No","alias","1.0","51"
"Science of the Total Environment","Science of the Total Environment","2.137","Q1","399","Environmental Science","No","exact","1.0","51"
"Acta Parasitologica","Acta Parasitologica","0.432","Q3","43","Immunology and Microbiology","No","exact","1.0","51"
"Marine Biology Research","Marine Biology Research","0.369","Q3","47","Agricultural and Biological Sciences; Earth and Planetary Sciences","No","exact","1.0","50"
"Acta Palaeontologica Polonica","Acta Palaeontologica Polonica","0.665","Q1","65","Earth and Planetary Sciences","Yes","exact","1.0","50"
"Journal of Zoo and Wildlife Medicine","Journal of Zoo and Wildlife Medicine","0.379","Q2","56","Agricultural and Biological Sciences; Medicine; Veterinary","No","exact","1.0","50"
"Marine Environmental Research","Marine Environmental Research","0.87","Q1","115","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science; Medicine","No","exact","1.0","50"
"Revista de Biología Tropical","Revista de Biologia Tropical","0.278","Q2","50","Agricultural and Biological Sciences","Yes","fuzzy","0.9643","50"
"Acta Ichthyologica et Piscatoria","Acta Ichthyologica et Piscatoria","0.375","Q2","31","Agricultural and Biological Sciences","Yes","exact","1.0","49"
"Brain","Brain","4.72","Q1","391","Medicine","No","exact","1.0","49"
"Thalassas","Thalassas","0.286","Q3","17","Agricultural and Biological Sciences; Earth and Planetary Sciences","No","exact","1.0","48"
"Pan-American Journal of Aquatic Sciences","Pan-American Journal of Aquatic Sciences","0.166","Q4","25","Agricultural and Biological Sciences","Yes","exact","1.0","47"
"Developmental and Comparative Immunology","Developmental and Comparative Immunology","0.631","Q2","137","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology","No","exact","1.0","46"
"Tertiary Research","Veterinary Research","0.914","Q1","128","Veterinary","Yes","fuzzy","0.8889","46"
"Nippon Suisan Gakkaishi","Nippon Suisan Gakkaishi","0.202","Q4","28","Agricultural and Biological Sciences","No","exact","1.0","46"
"Royal Society Open Science","Royal Society Open Science","0.795","Q1","92","Multidisciplinary","Yes","exact","1.0","45"
"Zoology","Zoology","0.496","Q2","61","Agricultural and Biological Sciences","No","exact","1.0","45"
"International Journal for Parasitology","International Journal for Parasitology","1.153","Q1","163","Immunology and Microbiology; Medicine","No","exact","1.0","43"
"American Journal of Physiology. Regulatory","American Journal of Physiology - Regulatory Integrative and Comparative Physiology","0.945","Q2","198","Biochemistry, Genetics and Molecular Biology; Medicine","No","alias","1.0","43"
"Fish & Shellfish Immunology","Fish and Shellfish Immunology","0.987","Q1","163","Agricultural and Biological Sciences; Environmental Science; Immunology and Microbiology; Medicine","No","exact","1.0","43"
"Hydrobiologia","Hydrobiologia","0.911","Q1","173","Agricultural and Biological Sciences","No","exact","1.0","42"
"Proceedings of the Geologists' Association","Proceedings of the Geologists' Association","0.391","Q2","50","Earth and Planetary Sciences","No","exact","1.0","42"
"Conservation Physiology","Conservation Physiology","0.827","Q1","59","Biochemistry, Genetics and Molecular Biology; Environmental Science","Yes","exact","1.0","42"
"Canadian Journal of Zoology","Canadian Journal of Zoology","0.527","Q2","118","Agricultural and Biological Sciences","No","exact","1.0","42"
"Brain Research","Brain Research","0.851","Q2","262","Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience","No","exact","1.0","41"
"New Zealand Journal of Marine and Freshwater Research","New Zealand Journal of Marine and Freshwater Research","0.581","Q2","65","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","41"
"Cahiers de Biologie Marine","Cahiers de Biologie Marine","0.175","Q4","38","Agricultural and Biological Sciences","No","exact","1.0","41"
"Conservation Genetics Resources","Conservation Genetics Resources","0.308","Q3","30","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","41"
"South African Journal of Marine Science","South African Journal of Science","0.592","Q1","72","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Earth and Planetary Sciences","Yes","fuzzy","0.9014","40"
"Scientia Marina","Scientia Marina","0.238","Q3","78","Agricultural and Biological Sciences; Earth and Planetary Sciences","Yes","exact","1.0","40"
"Ciencias Marinas","Ciencias Marinas","0.192","Q4","36","Agricultural and Biological Sciences","Yes","exact","1.0","40"
"Parasitology","Parasitology","0.631","Q1","133","Agricultural and Biological Sciences; Immunology and Microbiology; Medicine","Yes","exact","1.0","40"
"Diversity","Diversity","0.593","Q1","58","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","40"
"Pacific Science","Pacific Science","0.277","Q2","48","Multidisciplinary","No","exact","1.0","40"
"Deep Sea Research Part I: Oceanographic Research Papers","Deep-Sea Research Part I: Oceanographic Research Papers","0.685","Q1","144","Agricultural and Biological Sciences; Earth and Planetary Sciences","No","exact","1.0","39"
"Journal of Comparative Physiology B: Biochemical","Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology","0.533","Q2","95","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","alias","1.0","39"
"Conservation Biology","Conservation Biology","2.222","Q1","257","Agricultural and Biological Sciences; Environmental Science; Medicine","No","exact","1.0","38"
"Journal of Anatomy","Journal of Anatomy","0.655","Q2","140","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","38"
"Journal of the Marine Biological Association of India","Journal of the Marine Biological Association of India","0.158","Q4","4","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","37"
"Journal of Comparative Physiology A: Neuroethology","Journal of Comparative Physiology A: Neuroethology, Sensory, Neural, and Behavioral Physiology","0.637","Q1","106","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Neuroscience","No","alias","1.0","37"
"Comparative Biochemistry and Physiology","Comparative Biochemistry and Physiology -Part A : Molecular and Integrative Physiology","0.618","Q1","132","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","alias","1.0","36"
"Current Biology","Current Biology","2.707","Q1","376","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Neuroscience","No","exact","1.0","36"
"Coral Reefs","Coral Reefs","0.837","Q1","128","Agricultural and Biological Sciences","No","exact","1.0","35"
"Zoo Biology","Zoo Biology","0.418","Q2","69","Agricultural and Biological Sciences; Medicine","No","exact","1.0","35"
"Marine Drugs","Marine Drugs","1.03","Q1","174","Pharmacology, Toxicology and Pharmaceutics","Yes","exact","1.0","35"
"Acta Zoologica(Stockholm)","Acta Zoologica","0.368","Q2","44","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","35"
"Fish Physiology and Biochemistry","Fish Physiology and Biochemistry","0.673","Q1","98","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","34"
"Biology","Biology","0.888","Q1","91","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology","Yes","exact","1.0","33"
"Biology Letters","Biology Letters","1.071","Q1","140","Agricultural and Biological Sciences","No","exact","1.0","33"
"Molecular Ecology","Molecular Ecology","1.707","Q1","264","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","33"
"Zoomorphology","Zoomorphology","0.344","Q2","46","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","33"
"Transactions of the American Fisheries Society","Transactions of the American Fisheries Society","0.51","Q2","100","Agricultural and Biological Sciences","No","exact","1.0","33"
"Fisheries Oceanography","Fisheries Oceanography","0.865","Q1","90","Agricultural and Biological Sciences; Earth and Planetary Sciences","No","exact","1.0","33"
"Journal of Biological Chemistry","Journal of Biological Chemistry","1.705","Q1","567","Biochemistry, Genetics and Molecular Biology","Yes","exact","1.0","33"
"Fisheries Science","Fisheries Science","0.348","Q3","75","Agricultural and Biological Sciences","No","exact","1.0","32"
"Parasitology Research","Parasitology Research","0.565","Q1","114","Agricultural and Biological Sciences; Immunology and Microbiology; Medicine; Veterinary","No","exact","1.0","32"
"Journal of South American Earth Sciences","Journal of South American Earth Sciences","0.63","Q2","92","Earth and Planetary Sciences","No","exact","1.0","32"
"Plos One","PLoS ONE","0.803","Q1","467","Multidisciplinary","Yes","exact","1.0","32"
"Global Ecology and Conservation","Global Ecology and Conservation","1.045","Q1","80","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","31"
"Conservation Genetics","Conservation Genetics","0.62","Q2","84","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","31"
"Journal of Zoology","Journal of Zoology","0.686","Q1","114","Agricultural and Biological Sciences","No","exact","1.0","31"
"Integrative and Comparative Biology","Integrative and Comparative Biology","0.713","Q1","144","Agricultural and Biological Sciences; Medicine","No","exact","1.0","30"
"Toxicon","Toxicon","0.527","Q3","148","Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","29"
"Environmental Pollution","Environmental Pollution","2.205","Q1","328","Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","29"
"Deep Sea Research Part II: Topical Studies in Oceanography","Deep-Sea Research Part II: Topical Studies in Oceanography","0.883","Q1","163","Earth and Planetary Sciences","No","exact","1.0","28"
"Neuroscience Letters","Neuroscience Letters","0.766","Q2","194","Neuroscience","No","exact","1.0","27"
"Aquatic Living Resources","Aquatic Living Resources","0.436","Q2","74","Agricultural and Biological Sciences","Yes","exact","1.0","27"
"Marine Fisheries Review","Marine Fisheries Review","0.138","Q4","38","Agricultural and Biological Sciences","No","exact","1.0","27"
"Pflügers Archiv - European Journal of Physiology","Pflugers Archiv European Journal of Physiology","1.062","Q1","151","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","27"
"Paleontological Journal","Paleontological Journal","0.312","Q3","40","Earth and Planetary Sciences","No","exact","1.0","27"
"Molecular Phylogenetics and Evolution","Molecular Phylogenetics and Evolution","1.2","Q1","183","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","27"
"Vie et Milieu","Vie et Milieu","0.14","Q4","38","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","27"
"Journal of Heredity","Journal of Heredity","1.021","Q1","105","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","26"
"Bulletin of Environmental Contamination and Toxicology","Bulletin of Environmental Contamination and Toxicology","0.753","Q2","90","Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","26"
"Animal Biotelemetry","Animal Biotelemetry","0.829","Q1","37","Agricultural and Biological Sciences; Computer Science; Physics and Astronomy","Yes","exact","1.0","26"
"Journal of Animal Ecology","Journal of Animal Ecology","1.698","Q1","185","Agricultural and Biological Sciences","No","exact","1.0","26"
"Peptides","Peptides","0.958","Q2","144","Biochemistry, Genetics and Molecular Biology; Neuroscience","No","exact","1.0","25"
"Comparative Parasitology","Comparative Parasitology","0.209","Q4","34","Agricultural and Biological Sciences; Immunology and Microbiology","No","exact","1.0","25"
"Journal of Experimental Zoology Part A","Journal of Experimental Zoology Part A: Ecological and Integrative Physiology","0.647","Q1","28","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","substring","0.95","25"
"Food Chemistry","Food Chemistry","1.952","Q1","348","Agricultural and Biological Sciences; Chemistry; Medicine","Yes","exact","1.0","25"
"American Museum Novitates","American Museum Novitates","0.441","Q1","45","Arts and Humanities; Social Sciences","No","exact","1.0","25"
"Animal Conservation","Animal Conservation","1.036","Q1","101","Environmental Science","No","exact","1.0","25"
"Journal of Helminthology","Journal of Helminthology","0.398","Q2","59","Agricultural and Biological Sciences; Immunology and Microbiology; Medicine","Yes","exact","1.0","24"
"Crustaceana","Crustaceana","0.24","Q3","43","Agricultural and Biological Sciences","No","exact","1.0","24"
"Estuarine Coastal and Shelf Science","Estuarine, Coastal and Shelf Science","0.833","Q1","163","Agricultural and Biological Sciences; Earth and Planetary Sciences","No","exact","1.0","24"
"Journal of Marine Science and Engineering","Journal of Marine Science and Engineering","0.579","Q2","65","Engineering; Environmental Science","Yes","exact","1.0","24"
"European Journal of Biochemistry / FEBS","European Journal of Histochemistry","0.541","Q2","51","Biochemistry, Genetics and Molecular Biology; Medicine","Yes","fuzzy","0.8732","24"
"American Zoologist","American Sociologist","0.501","Q2","28","Social Sciences","No","fuzzy","0.8947","24"
"Journal of Physiology","Journal of Physiology","1.715","Q1","274","Biochemistry, Genetics and Molecular Biology; Health Professions","No","exact","1.0","24"
"Journal of Natural History","Journal of Natural History","0.339","Q3","56","Agricultural and Biological Sciences","No","exact","1.0","24"
"Zoological Science","Zoological Science","0.351","Q2","67","Agricultural and Biological Sciences","No","exact","1.0","24"
"Proceedings of the","Proceedings of the IEEE","6.247","Q1","339","Computer Science; Engineering","No","fuzzy","0.878","23"
"Animal Behaviour","Animal Behaviour","0.815","Q1","195","Agricultural and Biological Sciences","No","exact","1.0","23"
"Vision Research","Vision Research","0.628","Q2","190","Medicine; Neuroscience","No","exact","1.0","23"
"Hidrobiológica","Hidrobiologica","0.162","Q4","22","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","Yes","fuzzy","0.9286","22"
"Ecology","Ecology","2.04","Q1","345","Agricultural and Biological Sciences","No","exact","1.0","22"
"Proceedings of the Biological Society of Washington","Proceedings of the Biological Society of Washington","0.192","Q3","33","Agricultural and Biological Sciences","No","exact","1.0","22"
"Turkish Journal of Fisheries and Aquatic Sciences","Turkish Journal of Fisheries and Aquatic Sciences","0.41","Q2","42","Agricultural and Biological Sciences","Yes","exact","1.0","22"
"Parasitology International","Parasitology International","0.54","Q2","71","Immunology and Microbiology; Medicine","No","exact","1.0","22"
"Chemosphere","Chemosphere","1.896","Q1","329","Chemistry; Environmental Science; Medicine","No","exact","1.0","22"
"Journal of Endocrinology","Journal of Endocrinology","1.194","Q1","172","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","21"
"Proceedings of the Helminthological Society of Washington","Proceedings of the Entomological Society of Washington","0.242","Q3","31","Agricultural and Biological Sciences","No","fuzzy","0.9369","21"
"Comptes Rendus Palevol","Comptes Rendus - Palevol","0.419","Q3","58","Earth and Planetary Sciences","No","exact","1.0","21"
"Biochemistry","Biochemistry (Moscow)","0.659","Q2","97","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","21"
"Journal of Systematic Palaeontology","Journal of Systematic Palaeontology","0.808","Q1","60","Earth and Planetary Sciences","No","exact","1.0","21"
"Nature Communications","Nature Communications","4.761","Q1","577","Biochemistry, Genetics and Molecular Biology; Chemistry; Physics and Astronomy","Yes","exact","1.0","21"
"ZooKeys","ZooKeys","0.583","Q1","66","Agricultural and Biological Sciences; Earth and Planetary Sciences","Yes","exact","1.0","20"
"Molecular Ecology Resources","Molecular Ecology Resources","2.281","Q1","172","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","20"
"Frontiers In Marine Science","Frontiers in Marine Science","0.931","Q1","118","Agricultural and Biological Sciences; Earth and Planetary Sciences; Engineering; Environmental Science","Yes","exact","1.0","20"
"Aquatic Biology","Aquatic Biology","0.215","Q4","57","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","Yes","exact","1.0","20"
"Biota Neotropica","Biota Neotropica","0.364","Q3","45","Agricultural and Biological Sciences","Yes","exact","1.0","20"
"Current Science","Current Science","0.231","Q2","144","Multidisciplinary","Yes","exact","1.0","20"
"International Journal of Morphology","International Journal of Morphology","0.219","Q3","36","Medicine","Yes","exact","1.0","20"
"Fisheries Management and Ecology","Fisheries Management and Ecology","0.643","Q2","69","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","20"
"Estuaries and Coasts","Estuaries and Coasts","0.934","Q1","124","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","20"
"Marine and Freshwater Behaviour and Physiology","Marine and Freshwater Behaviour and Physiology","0.344","Q3","43","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Earth and Planetary Sciences","No","exact","1.0","19"
"Caribbean Journal of Science","American Journal of Science","1.273","Q1","133","Earth and Planetary Sciences","No","fuzzy","0.8727","19"
"Brazilian Journal of Biology","Brazilian Journal of Biology","0.36","Q2","66","Agricultural and Biological Sciences","Yes","exact","1.0","19"
