venue,country,language,kind,route,likely_members,notes
SMITH,South Africa,en,book chapters,book,Simon,"Stub: chapters of Smith's Sea Fishes (Smith & Heemstra 1986). We do not hold the book. One book buys 39 rows | track D 2026-09-17: Smith & Heemstra (eds) 1986 Smiths' Sea Fishes: 76 rows across the SMITH/M. Smith stubs, and it is FREE to borrow on archive.org (Controlled Digital Lending, 14-day loan). No purchase needed."
M. Smith,South Africa,en,book chapters,book,Simon,Same book as SMITH (37 rows): Smith's Sea Fishes | track D 2026-09-17: Same book as SMITH. Free archive.org CDL borrow.
Japanese Journal of Ichthyology,Japan,ja/en,journal,automated,—,"Free on J-STAGE with DOIs (10.11369): DOI recovery should work with the English title; check why it did not | track A3 2026-09-17: CONFIRMED automated and the best hit rate of any venue, 37/38. J-STAGE public search API api.jstage.jst.go.jp/searchapi/do?service=3&text=...&issn=0021-5090 (ISSN 0021-5090 / 1884-7374) returns XML with title, prism:doi, volume/issue/start page; the PDF is the article link with /_article replaced by /_pdf/-char/en. Separately confirmed by track E why DOI recovery failed here: prefix 10.11369 is JaLC-registered, invisible to Crossref-only tooling, regardless of title quality."
Thesis,various,various,thesis,automated,—,36 theses; OATD / institutional repositories / ProQuest via FIU
Fowler,UK,en,book chapters,book,Simon,"Stub: Fowler et al. (eds) 2005 Sharks Rays and Chimaeras: status survey (IUCN SSG). Free PDF from IUCN; 36 rows from one document | track D 2026-09-17: ALREADY HELD, do not re-acquire: Papers & Books/SharkPapers/2005/Fowler.etal.2005...pdf (45 MB, 476 pp, confirmed). Covers 36-38 book-chapter rows. A2 also re-downloaded it from iucnssg.org as a volume; the copy is in database/book_chapter_staging/."
Bulletin of Marine Science,USA,en,journal,ask member,Simon (FIU); David Shiffman,"Has DOIs (10.5343) for the whole run and FIU subscribes; 35 no-DOI rows here means the Crossref title match failed, not that DOIs are absent | track A3 2026-09-17: CONFIRMED paywalled (Ingenta), no download attempted by design. DOI recovery was retried for all 37 rows via Crossref query.bibliographic and NONE cleared the 0.7 bar, which confirms this venue's existing note: the title match fails, the DOIs are not absent. Needs a different query shape (query.title= plus an author field), not more of the same call. | track A3b 2026-09-17: MEASURED via Crossref issn:0007-4977 sorted by published date ascending -- DOI registration STARTS at vol. 86 (2010), and partway through it. 35 of our 36 rows are pre-2010, so no DOI exists for them; the one vol.86(1) boundary row was checked individually and also has none. This REPLACES the earlier 'has DOIs for the whole run, the title match failed' reading. Full text is behind the Ingenta paywall; FIU subscribes, so Simon can pull them."
CSIRO Marine and Atmospheric Research Paper,Australia,en,report,automated,Brit,"Free PDFs from CSIRO publications repository | track A2 2026-09-17: CONFIRMED automated, 38/52 rows with a PDF. cmar.csiro.au/publications/cmarseries/index.htm is a plain static index with direct PDF links; CMAR papers 014/021/022 alone cover 35 rows. Rays of the World: Supplementary Information is a genuinely free CSIRO Publishing companion PDF, distinct from the paid book. CAVEAT: frdc.com.au 403s a plain GET even for URLs confirmed to exist (lits 4243, 4249) -- blocked, not absent; needs a browser."
P.W. Gilbert,USA,en,book chapters,book,Simon,"Stub: Gilbert (ed.) Sharks and Survival 1963 / Sharks Skates and Rays 1967 (Johns Hopkins). 35 rows from two books; archive.org lends both | track D 2026-09-17: Gilbert, Mathewson & Rall (eds) 1967 Sharks, Skates, and Rays, 35 rows: FREE to borrow on archive.org (CDL). No purchase needed."
Acta Adriatica,Croatia,en,journal,automated,Elena; David RG,"Free PDFs on acta.izor.hr (Split); Adriatic | track A1 2026-09-17: CONFIRMED automated (OJS 3.4). The PDF is at /article/download/<id>/<galley>, NOT the /article/view/ link the page shows. 29/35 fetched, 2 held, 3 not found (Croatian titles), 1 search error."
California Fish and Game,USA,en,journal,automated,Alex; Sophia,"Whole back run free on the CDFW site / BHL | track A3 2026-09-17: NOT ATTEMPTED (39 rows). One transferable finding: a BHL API probe returned 401 with a placeholder key -- BHL is keyless for browsing but its SEARCH endpoints need a real registered key. That key (BHL_API_KEY) is now in the project .env and read by scripts/fetch_bhl_archive.py, so the next pass should work. | track A3b 2026-09-17: CONFIRMED, but by archive.org WHOLE VOLUME, not by article. Identifiers are constructed directly from volume/issue (no full-text search needed). 15 of 34 rows covered by whole issues staged as volumes; 19 not found. Not an article-level automated route."
Integrative and Comparative Biology:,USA,en,meeting abstracts,abstracts project,—,29 of 32 are SICB meeting abstracts (E-numbered): move to the abstracts project
Rivista di Parassitologia,Italy,it,journal,ask member,Chiara Gambardella,Old Italian parasitology journal; print only; Italian library
FAO Fisheries Technical Paper,intl,en/fr/es,report,automated,—,"All on fao.org as free PDFs | track A2 2026-09-17: PARTIAL (FAO overall 35/66). The legacy mirror fao.org/4/<doccode>/<doccode>NN.htm|.pdf IS scriptable for anything up to the early 2010s; openknowledge.fao.org (DSpace 7) is a JS SPA whose REST search 403s every automated request and which intermittently serves its Angular shell instead of a bitstream on repeat GETs of the SAME url. FTP 378 parts 1-2 (Shotton 1999, 22 rows) exist only as per-chapter HTML and were rebuilt into real PDFs. 31 not_found are 1978-1999 regional species-ID sheets plus 5 GFCM SAC/SCSA working papers (those need GFCM's meeting-document browse tree)."
Florida Scientist,USA,en,journal,browser-only,Simon (FIU),"Free back issues via FAU digital library / BioOne recent | track A3 2026-09-17: NOT ATTEMPTED (26 rows). No site-structure exploration was reached. | track A3b 2026-09-17: ROUTE CHANGED automated -> browser-only. FAU's digital library moved from fau.digital.flvc.org (410 Gone) to fau.isle.flvc.org (Islandora 8 / Drupal 10), and its full-text search endpoint is BROKEN SERVER-SIDE: it returns the identical unfiltered 28,902-result set whatever you search for. That is their bug, not a bot-block. No Crossref DOI registration found on a sampled title; BioOne (recent volumes) is a JS SPA with no server-rendered content. All 26 rows unreached."
Acta Geologica Polonica,Poland,en,journal,browser-only,—,"Free PDFs with DOIs on geojournals.pgi.gov.pl; DOI recovery should work | track A1 2026-09-17: ROUTE CHANGED from automated. geojournals.pgi.gov.pl serves an Incapsula/Imperva bot challenge intermittently (2 of ~4 requests); ZERO of the 26 rows were searched, so this is BLOCKED, not absent. Recover DOIs and route by DOI, or retry slowly from a real browser session. | track A1b/A1c 2026-09-17: ROUTE CHANGED check DOI -> browser-only. NO usable automated route: the journal registers no DOIs before 2012, archive.org's holdings stop at 1971, and every mirror tried is bot-walled (Incapsula/Imperva challenge). A1b recorded 27 rows as no_archive; A1 had recorded the same venue as blocked with 0 rows actually searched. Needs a real browser session or a member with access -- do not read the no_archive verdict as 'the papers are not online'."
Journal of Paleontology,USA,en,journal,check DOI,Simon (FIU); David Shiffman,"CUP/JSTOR with DOIs for the whole run; 26 no-DOI rows = title match failed | track B 2026-09-17: MEASURED via Crossref journals API, ISSN 0022-3360 (5,515 DOIs total). Registration nominally starts 1968 but is token until 1980 (35 DOIs across 1968-1979 vs ~5,480 from 1980 on), so effective coverage starts 1980. Of our 50 outstanding rows, 27 are pre-1980 and have no DOI to find; the 23 from 1980 on do. Track B's ISSN-scoped pass got 0 hits / 3 near-misses on the 26 it attempted, so for the 1980+ rows the DOI exists but our title match still fails. Pre-1980 rows are a JSTOR/member job, not a DOI job. This REPLACES 'CUP/JSTOR with DOIs for the whole run'."
Revista de Biología Marina y Oceanografía,Chile,es,journal,automated,Lola; David RG,"SciELO Chile, free with DOIs | track A3 2026-09-17: PARTIAL 9/26. Two paths, both needed: post-2016 articles migrated to revistas.uv.cl and are DOI-registered (Crossref title search -> doi.org -> OJS article/download/); older articles are on legacy scielo hosting with no DOI, reached by walking sci_issues -> sci_issuetoc in BOTH lng=en and lng=es."
Arquivos de Ciências do Mar,Brazil,pt,journal,automated,—,"Free on periodicos.ufc.br with DOIs | track A3 2026-09-17: HOST CORRECTED and PARTIAL, 7/25. The real host is periodicos.ufc.br/arquivosdecienciadomar (OJS3 under UFC's shared portal), not a bare /acmar path. OJS indexes localized metadata, so an English corpus title finds a Portuguese article; match on first-author surname, not on title. 8 rows failed the search request itself twice (urlopen exception, not 403/429) -- the instance appears to drop connections under sustained polite-paced traffic; retry at 5+ s spacing rather than changing code. 3 downloads are old scans with no text layer (verified=False means 'cannot verify by text', not 'wrong file')."
ICES CM Documents,intl,en,report,browser-only,—,"ICES library (ices.dk) free PDFs | track A2 2026-09-17: ROUTE CHANGED from automated. library.ices.dk is RETIRED and the current ices.dk exposes no public document-search endpoint reachable by plain HTTP. 4 of 37 rows came from an unrelated find: VLIZ's IMIS grey-literature mirror (vliz.be/imisdocs/publications/*.pdf) holds some ICES CM documents. ~29 CM 2005/2007/2010 documents remain; try a browser session against ices.dk's publications search, or ask ICES library services."
Pratt,USA,en,book chapters,book,Simon,"Stub: Pratt Gruber & Taniuchi (eds) 1990 Elasmobranchs as Living Resources, NOAA Tech Rep NMFS 90; free PDF from NOAA; 24 rows | track D 2026-09-17: Pratt, Gruber & Taniuchi (eds) 1990, NOAA TR NMFS 90, 24 rows: HELD as of tonight. A2 downloaded the whole volume from spo.nmfs.noaa.gov (286 MB) -> database/book_chapter_staging/A2_reports_tr90_pratt_1990_elasmobranchs_living_resources.pdf. Feed it to book-chapter mining; do NOT ingest as a single paper."
Afzettingen WTKG,Netherlands,nl,society magazine,automated,Guuske,"Werkgroep voor Tertiaire en Kwartaire Geologie; fossil shark teeth; Dutch society archive | track A1 2026-09-17: PARTIAL. wtkg.org/downloads/Afz-<year>-<issue>.pdf holds whole-issue PDFs for vol 41-42 (2020-2021) ONLY: 4 of those 5 rows verified, 1 (lit 30375) downloaded but unverifiable by text and needing a human page check. Older issues are on natuurtijdschriften.nl, a JS SPA (browser needed); vol 43+ is a members-only backlog, which is what keeps ask-member correct for the other 20 rows. | track A1b 2026-09-17: ROUTE CHANGED ask member -> automated. natuurtijdschriften.nl is a JS front end but its search page calls a real JSON backend at POST https://natuurtijdschriften.nl/search/query (a plain GET always fails); article PDFs are then at natuurtijdschriften.nl/pub/<id>/AFZ<year><vol><issue><n>.pdf. 16/20 downloaded and text-verified this way."
Bulletin de l'Institut Royal des Sciences Naturelles de Belgique,Belgium,fr/en,journal,ask member,Guuske,"Free scans at naturalsciences.be / BHL | track A1 2026-09-17: ROUTE CHANGED. naturalsciences.be was redesigned: /en/science/publications/historic-publications now offers only a PRICED catalogue, and biblio.naturalsciences.be's search endpoints 404. BHL is the remaining channel and was NOT tested (biodiversitylibrary.org 403s a plain requests GET; needs the registered BHL_API_KEY now in .env, or a browser). 23 rows. | track A1c 2026-09-17: ROUTE CHANGED BHL -> ask member. All 23 residue rows are 1959-2008 and neither archive.org nor BHL digitises this serial into that range (their holdings are 19th/early-20th century). BHL_API_KEY was live and answering throughout, so this is measured absence, not a blocked channel: 23/23 not_found across 4 query channels."
Shark News,UK,en,newsletter,automated,,"IUCN SSG newsletter; all issues free on iucnssg.org | track A2 2026-09-17: CONFIRMED automated, 60/61 rows. iucnssg.org/publications-shark-news-legacy.html lists every pre-2005 issue as a direct PDF and publications-status-reports.html carries Fowler et al. 2005. Static HTML, no bot protection. The 1 miss (lit 500878) has no recoverable issue number upstream."
Revista de Biología Tropical,Costa Rica,es/en,journal,automated,Lola; David RG,"SciELO, free with DOIs | track A3 2026-09-17: PARTIAL 2/23, and the low rate is REAL, not a bug: SciELO Costa Rica's online archive for this journal starts at 1998, so every 1990-1997 row has no issue online to search. A few matched-but-no-PDF cases are old volumes SciELO never digitised."
Cahiers de Biologie Marine,France,fr/en,journal,browser-only,Elena,"Roscoff; recent OA on the station site, older print | track A1 2026-09-17: ROUTE CHANGED from ask member. cbm.sb-roscoff.fr runs Spring Web Flow: every page carries an execution=e1sN token and direct article.htm?id= URLs silently redirect to whatever step the server-side session is on, so stateless per-row lookup is impossible. Recent content is genuinely free (2026 issue, DOI 10.21411/CBM.A.9E119828; prefix 10.21411 is DataCite and now in FREE_FULLTEXT_PREFIXES). 22 rows; needs a browser session that replays browse->search->click. | track A1b 2026-09-17: CONFIRMED browser-only. 22 rows no_archive, 3 browser_only. The site is Spring Web Flow: a direct article URL silently redirects to whatever step the session is currently on, so it needs a real session, not a different URL."
De Strandvlo,Belgium,nl,society magazine,browser-only,Guuske,"Strandwerkgroep België; free PDFs on strandwerkgroep.be for many years | track A1 2026-09-17: ROUTE CHANGED from ask member. The archive is CONFIRMED to exist and be free (articles since 1976, all but the last ~5 years downloadable), but search/download delegates to VLIZ's catalogue (vliz.be/en/catalogue?PubType=Article&serid=44637), a JS SPA whose plain-HTTP HTML contains no results at all. A browser-automation pass should recover most of the 22 rows; do not hand this to a person yet. | track A1b 2026-09-17: PARTIAL automation confirmed. VLIZ's old imisdocs store is alive and serves article PDFs at vliz.be/imisdocs/publications/<id>.pdf, but there is no working search endpoint; the only way in was Google 'site:vliz.be imisdocs' title search. 7/22 downloaded and verified that way, 15 not found in ~45 min of searching. Route stays browser-only for the residue."
Indian Journal of Fisheries,India,en,journal,automated,—,"Free on epubs.icar.org.in | track A3 2026-09-17: POOR, 1/22. OJS3 search returns mostly a single candidate that fails the title/surname bar, which suggests the index does not cover these older issues, or that a top-6-non-trivial-words query is too blunt. Same connection-drop pattern as ACMAR on repeat (8 rows). RELATED, NOT ATTEMPTED: Indian Journal of Geo-Marine Sciences (NOPR, nopr.niscpr.res.in, 23 rows)."
Neues Jahrbuch für Geologie und Paläontologie,Germany,de/en,journal,ask member,Ulrich,"Schweizerbart; German library | track A1 2026-09-17: CONFIRMED no free archive: Schweizerbart, subscription only. Ask-member is the right and only route."
Journal of the Elisha Mitchell Scientific Society,USA,en,journal,automated,—,"Free on BHL / JSTOR early journal content | track A3 2026-09-17: NOT ATTEMPTED (24 rows). Same BHL API-key finding as California Fish and Game applies. | track A3b 2026-09-17: SPLIT BY DATE. Pre-1970 volumes are on archive.org under predictable identifiers (2 rows covered by whole volumes); post-1970 is JSTOR only, and the 18 rows there are recorded paywalled. Use the team's JSTOR access for those."
Ichthyolith Issues,UK,en,newsletter,ask member,Cat,Fossil-fish microremains newsletter; some issues on the IGCP site
Marine Fisheries Review,USA,en,journal,automated,—,"Free PDFs on spo.nmfs.noaa.gov | track A2 2026-09-17: CONFIRMED automated, 21/21 rows. spo.nmfs.noaa.gov/mfr.htm?page=N (18 index pages) -> issue page -> article /content/ page -> PDF under /sites/default/files/pdf-content/."
Vertebrata Palasiatica,China,zh/en,journal,browser-only,—,"Free PDFs on ivpp.ac.cn | track A3 2026-09-17: HOST CORRECTED (20 rows, not attempted). Real host is https://www.vertpala.ac.cn (ISSN 2096-9899, Magtech CMS) with an English interface. TRAPS: www.ivpp.ac.cn is 403, and vertpala.ivpp.ac.cn SILENTLY REDIRECTS TO THE WRONG SISTER JOURNAL (Acta Anthropologica Sinica). Search is a client-built POST to /EN/article/advancedSearchResult.do with a searchSQL string, confirmed working and returning articleIDs; the article-detail -> PDF-link pattern is still unresolved. | track A3b 2026-09-17: ROUTE CHANGED automated -> browser-only. www.vertpala.ac.cn (the host A3 corrected to) is UNREACHABLE FROM THIS NETWORK: DNS resolves, every TCP connect times out on both :443 and :80, tried 3 times. Recorded as error, NOT as blocked or not_found -- it is a connectivity/routing failure, so the 18 rows are untested, not absent. Retry from another network before concluding anything."
Belgian Geological Survey,Belgium,fr/en,report,ask member,Guuske,"Professional Papers free from naturalsciences.be | track A1 2026-09-17: ROUTE CHANGED, same finding as Bulletin IRSNB: no free per-article archive left on naturalsciences.be. BHL untested (403 on plain GET). 19 rows. | track A1c 2026-09-17: ROUTE CHANGED BHL -> ask member. All 19 rows are the 1993/1995 Professional Papers 'Elasmobranches et Stratigraphie' (vol 278) -- a modern government serial, too recent for BHL or archive.org, which hold none of it. 19/19 not_found with the BHL API live."
Der Geschiebesammler,Germany,de,society magazine,ask member,Ulrich,Amateur geology magazine; German society | track A1 2026-09-17: NOT TESTED AT ALL (18 rows). geschiebekunde.de loads but was not explored for a back-issue archive. Ask Ulrich/Cat before more web searching. | track A1b 2026-09-17: CONFIRMED no free archive anywhere. 18 rows: ask Ulrich.
Cossmanniana,France,fr,journal,ask member,—,"Groupe d'Étude et de Recherche Macrofaune Cénozoïque; French society | track A1 2026-09-17: NOT TESTED AT ALL (19 rows). The presumed publisher domain geerm.fr does not resolve. Needs a first identification pass. | track A1b 2026-09-17: host is www.germc.net (NOT geerm.fr, which does not resolve). germc.net/resume-abstract/ gives FREE whole-issue PDFs for tomes 0-4; tomes 5+ are membership-only. 13 of 19 rows were covered by three free whole-issue PDFs (staged as volumes, not ingested); the remaining 6 sit in the membership tomes."
Der Steinkern,Germany,de,magazine,ask member,Ulrich,Amateur fossil magazine | track A1 2026-09-17: CONFIRMED no free archive: subscription magazine (Abonnement/Bestellformular). Ask-member is the right and only route.
Palaeontos,Belgium,en/nl,journal,ask member,Guuske,"Palaeo Publishing and Library vzw | track A1 2026-09-17: CONFIRMED no free archive: all 36 volumes are order-only (atributen/order.htm), no PDF links anywhere. Ask-member is the right and only route."
W.C. Hamlett (Ed.),USA,en,book chapters,book,Simon,"Stub: Hamlett (ed.) 1999 Sharks Skates and Rays: the Biology of Elasmobranch Fishes (JHU Press); 13 rows | track D 2026-09-17: Hamlett (ed.) 1999, 15 rows: FREE to borrow on archive.org (CDL). No purchase needed."
NAFO SCR documents,Canada (NW Atlantic),en,meeting document,automated,—,"track A2 2026-09-17: CONFIRMED automated, 3/3. nafo.int/Portals/0/PDFs/sc/<year>/scr<YY>-<NNN>.pdf, document number zero-padded to 3 digits."
ICCAT Collective Volume of Scientific Papers,international,en/es/fr,journal,automated,—,"track A2 2026-09-17: CONFIRMED automated, 13/13. iccat.int/Documents/CVSP/CV<vol3>_<pubyear>/n_<issue>/CV<vol3><issue2>[0]<page>.pdf, fully deterministic. TRAP: the folder year is the volume's PUBLICATION year, not the paper's cited year (vol.54 cited 2001/2002 is all under CV054_2002; vol.58 cited 2004/2005 is under CV058_2005). Non-CVSP meeting docs are under /Documents/Meetings/Docs/SCRS/."
NOAA Technical Report NMFS,USA,en,report series,automated,—,"track A2 2026-09-17: CONFIRMED automated via spo.nmfs.noaa.gov/legacy-series/noaa-technical-report-nmfs. TR 90 (Pratt et al. 1990) covers 24 rows and TR 115 (Branstetter 1993) covers 9 as whole volumes; TRs 8/31/34/121/153 cover 1-5 each. SEPARATE PROBLEM: repository.library.noaa.gov/gsearch 403s EVERY query (WAF), while /view/<id> returns 200 -- so the regional NEFSC/PIFSC/SEFSC/SWFSC tech memos exist but cannot be FOUND without a browser or a known id. Also: spo.nmfs.noaa.gov/professional-papers redirects to a broken internal path on port 8455 (reproduced 3x, a real site bug)."
Hidrobiológica,Mexico,es/en,journal,automated,—,"track A3 2026-09-17: CONFIRMED automated, 10/13 -- the best SciELO hit rate of the three; almost everything in scope falls in its well-covered online range. Same sci_issues/sci_issuetoc walk as the other SciELO titles, fetched in both lng=en and lng=es."
"Yano (eds) 1997, Biology of the Megamouth Shark",Japan,en,book stub,buy / ILL,Simon,"track D 2026-09-17: 15 rows. Not found anywhere free this session and scarce (est. USD 80-200). With the Mesozoic Fishes series, one of only two clusters where no free digital copy surfaced. A library/ILL route is cheaper than buying."
"Thorson (ed) 1976, Ichthyofauna of Nicaraguan Lakes",USA/Nicaragua,en,book stub,book,Simon,track D 2026-09-17: 15 rows. FREE to borrow on archive.org (CDL).
"Whitehead et al. (eds) 1984, Fishes of the NE Atlantic and Mediterranean",Europe,en,book stub,book,Simon,track D 2026-09-17: 7 rows. FREE to borrow on archive.org (CDL); 2 of the 3 volumes found.
"Carrier, Musick & Heithaus (eds), Biology of Sharks and Their Relatives",USA,en,book stub,ask member,Mike Heithaus (FIU),track D 2026-09-17: 15 rows across the 2012 2nd edition and Sharks and Their Relatives II (2010). MIKE HEITHAUS IS A CO-EDITOR -- ask him rather than buying. The 2004 1st edition (9 rows) is free to borrow on archive.org.
"Arratia et al. (eds), Mesozoic Fishes series",Germany,en,book stub,buy / ILL,Ulrich; Simon,"track D 2026-09-17: 18 rows across vols 1, 3, 4, 5. Nothing found online; Pfeil academic pricing est. USD 100-200/vol (~USD 500-900 for the set), so ILL is the cheaper route. Arratia, Wilson & Cloutier (eds) 2004 Recent Advances (the Schultze festschrift, 8 more rows) is the same situation."
"Roberts, Stewart & Struthers (eds) 2015, The Fishes of New Zealand",New Zealand,en,book stub,ask member,Brit Finucci,"track D 2026-09-17: 9 rows. Modern and in copyright, not on archive.org; est. NZD 300-400 new. Brit (NIWA) is the obvious ask."
"Relini (ed) 1999, Sintesi delle conoscenze sui fondi del Mediterraneo",Italy,it,book stub,ask member,Chiara Gambardella; Elena Fernandez Corredor,track D 2026-09-17: 9 rows.
Theses (no institution recorded),—,—,thesis,repair metadata,—,"track D 2026-09-17: 143 of 248 thesis rows carry only a bare 'Thesis'/'PhD Thesis' stub with NO institution anywhere in the corpus. This is a data gap, not a search failure, and nothing can be routed until the original record or a title lookup fills it. The other 105 rows DO parse to an institution and country (USA 21, Spain 11, Colombia 9, Australia 8, Germany 8, Costa Rica 7, Italy 5, Brazil 5, UK 5). NOTE: OATD was BLOCKED all session (Cloudflare 403 on every request, curl and WebFetch alike) -- no thesis was marked not-found on the strength of a query that never ran. Re-run OATD before concluding anything is absent."
Indian Journal of Geo-Marine Sciences,India,English,journal,automated,,"track A3b 2026-09-17: CONFIRMED automated, 13/14 downloaded. Free full text on NOPR (nopr.niscpr.res.in, DSpace 5.5); PDFs at nopr.niscpr.res.in/bitstream/123456789/<id>/1/IJMS%20<vol>(<issue>)%20<pages>.pdf. Distinct from Indian Journal of Fisheries (ICAR ePubs), which is a separate and much poorer route."
