species_name,trait_class,trait_name,standard_name,method_name,model_name,value,value_type,precision,precision_type,sample_size,sex,location,reference_doi
species_34,Length,,,,,17.8,max,,,1,,"South‐east of Laguna Nuxco, Guerrero, Mexico",
species_34,Length,,,,,88.2,max,,,1,,Santa Rosa Island,
species_34,Length,,,,,37.3,max,,,1,,"South‐east of Laguna Nuxco, Guerrero, Mexico",
species_34,Length,,,,,103.5,max,,,1,,Santa Rosa Island,
species_34,Length,,,,,70.5,max,,,1,,Valdivia,
species_34,Length,,,,,91.8,max,,,2,,Valdivia,
species_34,Length,,,,,117,max,,,1,,Valdivia,
species_34,Length,,,,,127,max,,,2,,Valdivia,
species_34,Length,,,,,117,max,,,2,,West coast of Baja California,
species_34,Length,,,,,105.6,max,,,1,,West coast of Baja California,
species_34,Length,,,,,6620,max,,,2,,West coast of Baja California,
species_34,Length,,,,,4640,max,,,1,,West coast of Baja California,
species_34,Reproduction,,,,,1.8,min,,range,2,,West coast of Baja California,
species_34,Reproduction,,,,,4.9,mean,,,2,,West coast of Baja California,
species_34,Reproduction,,,,,4.7,max,,,2,,West coast of Baja California,
species_34,Reproduction,,,,,1.5,max,,,2,,West coast of Baja California,
species_34,Length,,,,,63.1,max,,,6,,"Punta Pescadera, Baja California, Mexico",
species_34,Length,,,,,120,max,,,6,,"Punta Pescadera, Baja California, Mexico",
species_38,,,,,,,,,,,,,
species_38,,,,,,,,,,,,,
species_38,,,,,,,,,,,,,
species_38,,,,,,,,,,,,,
species_38,Length,,,,,60.2,max,,,37,,"Port Hacking, New South Wales, Australia",
species_38,Length,,,,,32.5,min,,,37,,"Port Hacking, New South Wales, Australia",
species_38,Length,,,,,103.7,max,,,37,,"Port Hacking, New South Wales, Australia",
species_38,Length,,,,,65.8,min,,,37,,"Port Hacking, New South Wales, Australia",
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,,,,,,,,,,,,,
species_43,Length,,,,,32.5,max,,,1,,80 miles east of Timaru,
species_43,Length,,,,,77.6,max,,,1,,"Manzanillo, Colima",
species_43,Length,,,,,18.7,max,,range,180,,New Zealand,
species_43,Length,,,,,70,median,,,180,,New Zealand,
species_43,Length,,,,,27.4,max,,range,120,,New Zealand,
species_43,Length,,,,,65.1,median,,,120,,New Zealand,
species_43,Length,,,,,75.8,mean,,,180,,New Zealand,
species_43,Length,,,,,75.1,mean,CI,range,180,,New Zealand,
species_43,Length,,,,,62.8,mean,,,120,,New Zealand,
species_43,Length,,,,,62.8,mean,CI,range,120,,New Zealand,
species_43,Length,,,,,66.2,min,,,180,,New Zealand,
species_43,Length,,,,,84.3,max,,,180,,New Zealand,
species_43,Length,,,,,60.2,min,,,120,,New Zealand,
species_43,Length,,,,,65.3,max,,,120,,New Zealand,
species_43,Length,,,,,14,max,,range,180,,New Zealand,
species_43,Length,,,,,58,max,,range,120,,New Zealand,
species_43,Reproduction,,,,,0.8,min,,range,180,,New Zealand,
species_43,Reproduction,,,,,15,max,,range,180,,New Zealand,
species_43,Reproduction,,,,,27,max,,,180,,New Zealand,
species_43,Relationships,,,,,1.06,,,,300,,New Zealand,
species_43,Relationships,,,,,3.228,,,,300,,New Zealand,
species_43,Length,,,,,89.5,max,,,1,,80 miles east of Timaru,
species_43,Length,,,,,37.1,max,,,34,,New Zealand,
species_43,Length,,,,,44.8,max,,,32,,New Zealand,
species_43,Length,,,,,32.2,mean,,,34,,New Zealand,
species_43,Length,,,,,39.9,mean,,,32,,New Zealand,
species_43,Length,,,,,96.8,max,,,34,,New Zealand,
species_43,Length,,,,,117.7,max,,,32,,New Zealand,
species_43,Length,,,,,89.8,mean,,,34,,New Zealand,
species_43,Length,,,,,105,mean,,,32,,New Zealand,
species_43,Length,,,,,43.6,max,,range,18,,New Zealand,
species_43,Length,,,,,6.4,max,,,23,,New Zealand,
species_43,Length,,,,,52.5,max,,range,5,,New Zealand,
species_43,Length,,,,,104.3,max,,range,18,,New Zealand,
species_43,Length,,,,,120.5,max,,range,5,,New Zealand,
species_43,Length,,,,,76.8,max,,,1,,"South of Bahía de Banderas, Jalisco",
species_43,Length,,,,,1326,max,,,1,,"South of Bahía de Banderas, Jalisco",
species_44,,,,,,,,,,,,,
species_44,,,,,,,,,,,,,
species_44,,,,,,,,,,,,,
species_44,,,,,,,,,,,,,
species_44,,,,,,,,,,,,,
species_44,Length,,,,,79.8,max,,,16,,coast of Panama,
species_44,Length,,,,,10,min,,range,16,,coast of Panama,
species_44,Length,,,,,34.9,max,,,1,,"El Quetzalito, Guatemala",
species_44,Length,,,,,88,max,,,1,,"El Quetzalito, Guatemala",
species_44,Length,,,,,73,max,,,1,,"El Quetzalito, Guatemala",
species_45,,,,,,,,,,,,,
species_45,,,,,,,,,,,,,
species_45,,,,,,,,,,,,,
species_45,,,,,,,,,,,,,
species_45,,,,,,,,,,,,,
species_45,,,,,,,,,,,,,
species_45,Length,,,,,123.1,max,,,1,,Bay of Biscay,
species_45,Length,,,,,7060,max,,,1,,Bay of Biscay,
species_45,Reproduction,,,,,2,max,,,1,,Bay of Biscay,
species_45,Length,,,,,47,max,,,1,,"East of the
Nagapattinam coast, Bay of Bengal",
species_45,Length,,,,,107,max,,,1,,"East of the
Nagapattinam coast, Bay of Bengal",
species_45,Length,,,,,1750,max,,,1,,"East of the
Nagapattinam coast, Bay of Bengal",
species_46,,,,,,,,,,,,,
species_46,,,,,,,,,,,,,
species_46,,,,,,,,,,,,,
species_46,Length,,,,,25.8,max,,,48,,Socotra Islands,
species_46,Length,,,,,16,min,,,48,,Socotra Islands,
species_46,Length,,,,,72.8,max,,,48,,Socotra Islands,
species_47,,,,,,,,,,,,,
species_47,,,,,,,,,,,,,
species_47,,,,,,,,,,,,,
species_47,,,,,,,,,,,,,
species_47,,,,,,,,,,,,,
species_47,,,,,,,,,,,,,
species_47,,,,,,,,,,,,,
species_47,,,,,,,,,,,,,
species_47,Length,,,,,65,max,,,7,,Western Cape west of Doring Bay,
species_47,Length,,,,,56.8,max,,,7,,Western Cape west of Doring Bay,
species_47,Length,,,,,147,max,,,7,,Western Cape west of Doring Bay,
species_47,Length,,,,,112.2,max,,,7,,Western Cape west of Doring Bay,
species_47,Length,,,,,49.5,max,,,8,,Japan,
species_47,Length,,,,,48,max,,,14,,Japan,
species_47,Length,,,,,105,max,,,8,,Japan,
species_47,Length,,,,,101.7,max,,,14,,Japan,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,,,,,,,,,,,,,
species_49,Length,,,,,56,max,,,19,,"Hota, Tokyo Bay",
species_49,Length,,,,,51.3,max,,,25,,"Hota, Tokyo Bay",
species_49,Length,,,,,128,max,,,19,,"Hota, Tokyo Bay",
species_49,Length,,,,,120.4,max,,,25,,"Hota, Tokyo Bay",
species_49,Length,,,,,100,max,,,1,,Southeastern coast of Sakhalin Island,
species_49,Length,,,,,50.8,max,,range,104,,New Zealand,
species_49,Length,,,,,20.9,max,,range,64,,New Zealand,
species_49,Length,,,,,107.7,median,,,104,,New Zealand,
species_49,Length,,,,,105.85,median,,,64,,New Zealand,
species_49,Length,,,,,105.3,mean,,,104,,New Zealand,
species_49,Length,,,,,104.7,mean,CI,range,104,,New Zealand,
species_49,Length,,,,,125,mean,,,64,,New Zealand,
species_49,Length,,,,,123.6,mean,CI,range,64,,New Zealand,
species_49,Length,,,,,108.3,min,,,64,,New Zealand,
species_49,Length,,,,,129.5,max,,,64,,New Zealand,
species_49,Length,,,,,99.7,min,,,104,,New Zealand,
species_49,Length,,,,,116.6,max,,,104,,New Zealand,
species_49,Length,,,,,17,max,,range,104,,New Zealand,
species_49,Length,,,,,136,max,,range,64,,New Zealand,
species_49,Reproduction,,,,,2,min,,range,64,,New Zealand,
species_49,Reproduction,,,,,16,max,,range,64,,New Zealand,
species_49,Reproduction,,,,,31,max,,,64,,New Zealand,
species_49,Relationships,,,,,5.993,,,,168,,New Zealand,
species_49,Relationships,,,,,3.717,,,,168,,New Zealand,
species_49,Length,,,,,54.5,max,,,1,,3-4 nautical miles east of Kuei-Shan-Tao,
species_49,Length,,,,,116.5,max,,,1,,3-4 nautical miles east of Kuei-Shan-Tao,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,,,,,,,,,,,,,
species_52,Length,,,,,70,raw_value,,,124,,Veracruz-Gulf of Mexico,
species_52,Length,,,,,58,raw_value,,,121,,Veracruz-Gulf of Mexico,
species_52,Length,,,,,132,raw_value,,,124,,Veracruz-Gulf of Mexico,
species_52,Length,,,,,89,raw_value,,,121,,Veracruz-Gulf of Mexico,
species_52,Length,,,,,30,raw_value,,,84,,Veracruz-Gulf of Mexico,
species_52,Reproduction,,,,,February-March,,,,,,Veracruz-Gulf of Mexico,
species_52,Reproduction,,,,,3,mean,1,range,,,Veracruz-Gulf of Mexico,
species_52,Relationships,,,,,3.5e-05,,,,269,,Veracruz-Gulf of Mexico,
species_52,Relationships,,,,,2.98,,,,269,,Veracruz-Gulf of Mexico,
species_52,Growth,,,,,108.59,raw_value,,,109,,Campeche,
species_52,Growth,,,,,62.69,raw_value,,,109,,Campeche,
species_52,Growth,,,,,111.11,raw_value,,,109,,Campeche,
species_52,Growth,,,,,121.71,raw_value,,,109,,Campeche,
species_52,Growth,,,,,62.99,raw_value,,,109,,Campeche,
species_52,Growth,,,,,130.47,raw_value,,,109,,Campeche,
species_52,Growth,,,,,121.71,raw_value,,,109,,Campeche,
species_52,Growth,,,,,42.44,raw_value,,,226,,Campeche,
species_52,Growth,,,,,62.99,raw_value,,,109,,Campeche,
species_52,Growth,,,,,35.47,raw_value,,,226,,Campeche,
species_52,Growth,,,,,130.46,raw_value,,,109,,Campeche,
species_52,Growth,,,,,42.84,raw_value,,,226,,Campeche,
species_52,Growth,,,,,0.14,raw_value,,,117,,Campeche,
species_52,Growth,,,,,0.53,raw_value,,,117,,Campeche,
species_52,Growth,,,,,0.1,raw_value,,,117,,Campeche,
species_52,Growth,,,,,0.08,raw_value,,,117,,Campeche,
species_52,Growth,,,,,0.45,raw_value,,,117,,Campeche,
species_52,Growth,,,,,0.05,raw_value,,,117,,Campeche,
species_52,Growth,,,,,0.08,raw_value,,,117,,Campeche,
species_52,Growth,,,,,0.45,raw_value,,,117,,Campeche,
species_52,Growth,,,,,0.05,raw_value,,,117,,Campeche,
species_52,Growth,,,,,-0.6,raw_value,,,226,,Campeche,
species_52,Growth,,,,,-1.07,raw_value,,,226,,Campeche,
species_52,Growth,,,,,-0.68,raw_value,,,226,,Campeche,
species_52,Growth,,,,,-5.42,raw_value,,,226,,Campeche,
species_52,Growth,,,,,-1.85,raw_value,,,226,,Campeche,
species_52,Growth,,,,,-7.69,raw_value,,,226,,Campeche,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,,,,,,,,,,,,,
species_58,Growth,,,,,81.43,raw_value,,,172,,Gulf of California,
species_58,Growth,,,,,67.56,raw_value,,,172,,Gulf of California,
species_58,Growth,,,,,76.2,raw_value,,,172,,Gulf of California,
species_58,Growth,,,,,65.41,raw_value,,,172,,Gulf of California,
species_58,Growth,,,,,73.35,raw_value,,,172,,Gulf of California,
species_58,Growth,,,,,63.08,raw_value,,,172,,Gulf of California,
species_58,Growth,,,,,64.36,raw_value,,,138,,Gulf of California,
