primary_discipline,technique_name,paper_count,first_year,last_year,years_active,recent_papers,recent_years,historical_papers,historical_years,recent_avg_per_year,historical_avg_per_year,growth_ratio,classification,full_name
DATA,Ensemble Learning,5,2018,2024,4,4,3,1,1,1.3333333333333333,1,1.3333333333333333,STABLE,Data Science
DATA,Generalized Estimating Equations,5,2010,2015,3,0,0,5,3,0,1.6666666666666667,0,STABLE,Data Science
DATA,N-Mixture Models,5,2019,2024,3,4,2,1,1,2,1,2,STABLE,Data Science
DATA,Structural Equation Modeling,4,2013,2019,4,0,0,4,4,0,1,0,RARE,Data Science
DATA,Convolutional Neural Networks,3,2022,2024,2,3,2,0,0,1.5,0,999,RARE,Data Science
DATA,Data Fusion,3,2022,2025,2,3,2,0,0,1.5,0,999,RARE,Data Science
DATA,SARIMA,2,2018,2022,2,1,1,1,1,1,1,1,RARE,Data Science
FISH,Stock Assessment,984,1977,2025,43,272,6,712,37,45.333333333333336,19.243243243243242,2.355805243445693,EMERGING,Fisheries
FISH,Post-Release Mortality,265,1982,2025,23,110,6,155,17,18.333333333333332,9.117647058823529,2.010752688172043,EMERGING,Fisheries
FISH,Post-Release Survival,234,1982,2025,23,91,6,143,17,15.166666666666666,8.411764705882353,1.803030303030303,STABLE,Fisheries
FISH,Discard Mortality,195,1998,2025,22,55,6,140,16,9.166666666666666,8.75,1.0476190476190474,STABLE,Fisheries
FISH,Ecosystem Models,115,2000,2025,21,28,6,87,15,4.666666666666667,5.8,0.8045977011494254,STABLE,Fisheries
FISH,LIME,99,1953,2024,49,17,5,82,44,3.4,1.8636363636363635,1.824390243902439,STABLE,Fisheries
FISH,Yield per Recruit,86,1979,2025,35,15,5,71,30,3,2.3666666666666667,1.267605633802817,STABLE,Fisheries
FISH,Age-Structured Models,37,1997,2025,19,9,5,28,14,1.8,2,0.9,STABLE,Fisheries
FISH,Stock Synthesis,36,2008,2025,13,13,5,23,8,2.6,2.875,0.9043478260869565,STABLE,Fisheries
FISH,Bycatch Assessment,23,2005,2024,15,10,5,13,10,2,1.3,1.5384615384615383,STABLE,Fisheries
FISH,Surplus Production Models,23,2002,2025,14,12,5,11,9,2.4,1.2222222222222223,1.9636363636363634,STABLE,Fisheries
FISH,CPUE Standardization,21,2007,2023,11,4,3,17,8,1.3333333333333333,2.125,0.6274509803921569,STABLE,Fisheries
FISH,Fisher Interviews,20,2007,2025,11,15,6,5,5,2.5,1,2.5,EMERGING,Fisheries
FISH,Statistical Catch-at-Age,20,2008,2024,14,5,4,15,10,1.25,1.5,0.8333333333333334,STABLE,Fisheries
FISH,Virtual Population Analysis,20,2000,2023,13,3,2,17,11,1.5,1.5454545454545454,0.9705882352941176,STABLE,Fisheries
FISH,Distance Sampling,15,2013,2025,8,7,4,8,4,1.75,2,0.875,STABLE,Fisheries
FISH,Multispecies Models,12,1989,2025,8,2,2,10,6,1,1.6666666666666667,0.6,STABLE,Fisheries
FISH,Spawning Stock Biomass per Recruit,11,2009,2022,7,5,2,6,5,2.5,1.2,2.0833333333333335,EMERGING,Fisheries
FISH,Data-Poor Assessment,10,2011,2025,7,5,3,5,4,1.6666666666666667,1.25,1.3333333333333335,STABLE,Fisheries
FISH,LBB,10,1996,2025,8,6,4,4,4,1.5,1,1.5,STABLE,Fisheries
FISH,Catch Curve Analysis,9,2005,2025,7,2,2,7,5,1,1.4,0.7142857142857143,STABLE,Fisheries
FISH,Close-Kin Mark-Recapture,8,2018,2025,5,7,4,1,1,1.75,1,1.75,STABLE,Fisheries
FISH,Length-Based Methods,8,1993,2022,6,4,2,4,4,2,1,2,STABLE,Fisheries
FISH,LBSPR,5,2019,2022,3,4,2,1,1,2,1,2,STABLE,Fisheries
FISH,Length-Converted Catch Curves,5,1996,2020,5,1,1,4,4,1,1,1,STABLE,Fisheries
FISH,Integrated Models,4,2016,2020,4,1,1,3,3,1,1,1,RARE,Fisheries
FISH,AMSY,3,2021,2022,2,3,2,0,0,1.5,0,999,RARE,Fisheries
FISH,Catch Data Analysis,3,2011,2016,3,0,0,3,3,0,1,0,RARE,Fisheries
FISH,Catch-MSY,2,2017,2022,2,1,1,1,1,1,1,1,RARE,Fisheries
FISH,Delay-Difference Models,2,2009,2017,2,0,0,2,2,0,1,0,RARE,Fisheries
FISH,Depletion Methods,1,2006,2006,1,0,0,1,1,0,1,0,RARE,Fisheries
GEN,STRUCTURE,7529,1950,2025,74,1613,6,5916,68,268.8333333333333,87,3.090038314176245,EMERGING,Genetics
GEN,Phylogenetics,614,1982,2025,34,175,6,439,28,29.166666666666668,15.678571428571429,1.8602885345482156,STABLE,Genetics
GEN,Genomics,511,1982,2025,27,210,6,301,21,35,14.333333333333334,2.441860465116279,EMERGING,Genetics
GEN,Population Genetics,451,1982,2025,37,129,6,322,31,21.5,10.387096774193548,2.0698757763975157,EMERGING,Genetics
GEN,DNA Barcoding,448,1982,2025,21,196,6,252,15,32.666666666666664,16.8,1.9444444444444442,STABLE,Genetics
GEN,mtDNA,427,1996,2025,29,124,6,303,23,20.666666666666668,13.173913043478262,1.5687568756875687,STABLE,Genetics
GEN,Conservation Genetics,303,1982,2025,26,99,6,204,20,16.5,10.2,1.6176470588235294,STABLE,Genetics
GEN,ADMIXTURE,129,1967,2025,27,49,6,80,21,8.166666666666666,3.8095238095238093,2.14375,EMERGING,Genetics
GEN,SNPs,114,1982,2025,17,59,6,55,11,9.833333333333334,5,1.9666666666666668,STABLE,Genetics
GEN,eDNA,110,1965,2025,21,73,6,37,15,12.166666666666666,2.466666666666667,4.932432432432432,EMERGING,Genetics
GEN,LAMP,109,1953,2025,48,15,5,94,43,3,2.186046511627907,1.372340425531915,STABLE,Genetics
GEN,Metabarcoding,86,2016,2025,10,76,6,10,4,12.666666666666666,2.5,5.066666666666666,EMERGING,Genetics
GEN,Comparative Genomics,83,1982,2025,23,28,6,55,17,4.666666666666667,3.235294117647059,1.4424242424242424,STABLE,Genetics
GEN,Genetic relatedness,47,1985,2025,20,25,6,22,14,4.166666666666667,1.5714285714285714,2.651515151515152,EMERGING,Genetics
GEN,Transcriptomics,45,2009,2025,15,23,6,22,9,3.8333333333333335,2.4444444444444446,1.5681818181818181,STABLE,Genetics
GEN,DAPC,36,2014,2025,12,21,6,15,6,3.5,2.5,1.4,STABLE,Genetics
GEN,eDNA Metabarcoding,34,2016,2025,9,29,6,5,3,4.833333333333333,1.6666666666666667,2.9,EMERGING,Genetics
GEN,Ancient DNA,26,2001,2025,13,14,5,12,8,2.8,1.5,1.8666666666666665,STABLE,Genetics
GEN,Whole Genome Sequencing,21,2004,2025,11,13,6,8,5,2.1666666666666665,1.6,1.3541666666666665,STABLE,Genetics
GEN,DNA Forensics,12,2005,2021,8,1,1,11,7,1,1.5714285714285714,0.6363636363636364,STABLE,Genetics
GEN,Mini-Barcoding,12,2019,2024,6,11,5,1,1,2.2,1,2.2,EMERGING,Genetics
GEN,Genome Skimming,10,2019,2022,4,9,3,1,1,3,1,3,EMERGING,Genetics
GEN,FST Analysis,6,2001,2023,5,2,1,4,4,2,1,2,STABLE,Genetics
MOV,Connectivity,1067,1980,2025,40,495,6,572,34,82.5,16.823529411764707,4.903846153846153,EMERGING,Movement
MOV,Critical Habitat,238,1998,2025,24,102,6,136,18,17,7.555555555555555,2.25,EMERGING,Movement
MOV,Network Analysis,160,1982,2025,20,82,6,78,14,13.666666666666666,5.571428571428571,2.452991452991453,EMERGING,Movement
MOV,MaxEnt,46,2012,2025,12,31,6,15,6,5.166666666666667,2.5,2.066666666666667,EMERGING,Movement
MOV,Kernel Density Estimation,43,2012,2025,12,26,6,17,6,4.333333333333333,2.8333333333333335,1.5294117647058822,STABLE,Movement
MOV,State-Space Models,41,2008,2025,18,11,6,30,12,1.8333333333333333,2.5,0.7333333333333333,STABLE,Movement
MOV,Hidden Markov Models,35,2011,2025,12,21,6,14,6,3.5,2.3333333333333335,1.5,STABLE,Movement
MOV,Minimum Convex Polygon,34,2002,2022,20,5,3,29,17,1.6666666666666667,1.7058823529411764,0.9770114942528736,STABLE,Movement
MOV,MPA Design,33,2005,2024,15,16,5,17,10,3.2,1.7,1.8823529411764708,STABLE,Movement
MOV,Habitat Modeling,29,1982,2025,13,11,4,18,9,2.75,2,1.375,STABLE,Movement
MOV,Species Distribution Model,26,2009,2025,10,20,6,6,4,3.3333333333333335,1.5,2.2222222222222223,EMERGING,Movement
MOV,Brownian Bridge,19,2014,2025,8,17,6,2,2,2.8333333333333335,1,2.8333333333333335,EMERGING,Movement
MOV,Home Range Analysis,14,2003,2022,10,3,3,11,7,1,1.5714285714285714,0.6363636363636364,STABLE,Movement
MOV,Marxan,14,2010,2022,7,4,2,10,5,2,2,1,STABLE,Movement
MOV,Brownian Bridge Movement Model,11,2014,2025,7,9,5,2,2,1.8,1,1.8,STABLE,Movement
MOV,Movement Modeling,9,2016,2025,6,3,2,6,4,1.5,1.5,1,STABLE,Movement
MOV,Ensemble Models,8,2016,2024,3,7,2,1,1,3.5,1,3.5,EMERGING,Movement
MOV,Spatial Prioritization,5,2017,2022,4,3,2,2,2,1.5,1,1.5,STABLE,Movement
MOV,Mean-position algorithm,4,2008,2017,4,0,0,4,4,0,1,0,RARE,Movement
MOV,Resource Selection Functions,4,2021,2024,3,4,3,0,0,1.3333333333333333,0,999,RARE,Movement
MOV,Residence Indices,3,2016,2022,3,1,1,2,2,1,1,1,RARE,Movement
MOV,AKDE,2,2022,2025,2,2,2,0,0,1,0,999,RARE,Movement
MOV,Joint Species Distribution Model,2,2017,2022,2,1,1,1,1,1,1,1,RARE,Movement
MOV,Refined shortest paths,2,2022,2024,2,2,2,0,0,1,0,999,RARE,Movement
TRO,Stable Isotope Analysis,448,1982,2025,24,169,6,279,18,28.166666666666668,15.5,1.817204301075269,STABLE,Trophic Ecology
TRO,Foraging Behavior,344,1982,2025,28,135,6,209,22,22.5,9.5,2.3684210526315788,EMERGING,Trophic Ecology
TRO,Stomach Content Analysis,302,1967,2025,42,96,6,206,36,16,5.722222222222222,2.796116504854369,EMERGING,Trophic Ecology
TRO,Prey Selection,156,1985,2025,33,33,6,123,27,5.5,4.555555555555555,1.2073170731707317,STABLE,Trophic Ecology
TRO,Niche Partitioning,143,1982,2025,23,60,6,83,17,10,4.882352941176471,2.048192771084337,EMERGING,Trophic Ecology
TRO,Diet Analysis,134,1980,2025,29,29,6,105,23,4.833333333333333,4.565217391304348,1.0587301587301587,STABLE,Trophic Ecology
TRO,NMDS,134,2004,2025,20,62,6,72,14,10.333333333333334,5.142857142857143,2.009259259259259,EMERGING,Trophic Ecology
TRO,Food Web Models,80,2007,2024,17,25,5,55,12,5,4.583333333333333,1.090909090909091,STABLE,Trophic Ecology
TRO,Energy Flow,61,1980,2025,24,23,6,38,18,3.8333333333333335,2.111111111111111,1.8157894736842106,STABLE,Trophic Ecology
TRO,Fatty Acid Analysis,56,1973,2025,24,19,6,37,18,3.1666666666666665,2.0555555555555554,1.5405405405405406,STABLE,Trophic Ecology
TRO,Optimal Foraging Theory,51,1993,2025,20,14,5,37,15,2.8,2.466666666666667,1.135135135135135,STABLE,Trophic Ecology
TRO,SIAR,50,2010,2024,13,9,3,41,10,3,4.1,0.7317073170731708,STABLE,Trophic Ecology
TRO,DNA Metabarcoding,44,2016,2025,10,38,6,6,4,6.333333333333333,1.5,4.222222222222222,EMERGING,Trophic Ecology
TRO,Ecosystem Roles,9,2004,2024,9,4,4,5,5,1,1,1,STABLE,Trophic Ecology
TRO,Dynamic Energy Budget,6,2017,2022,4,4,2,2,2,2,1,2,STABLE,Trophic Ecology
TRO,Trophic Level Estimation,6,2011,2020,5,1,1,5,4,1,1.25,0.8,STABLE,Trophic Ecology
TRO,IsoSpace,3,2020,2024,2,3,2,0,0,1.5,0,999,RARE,Trophic Ecology
TRO,Trophic Position Calculation,2,2019,2022,2,1,1,1,1,1,1,1,RARE,Trophic Ecology
